item1,item2,choice,trial_n
A,B,A,1
A,B,A,2
A,B,B,3
A,C,A,1
A,C,A,2
A,C,A,3
A,D,D,1
A,D,A,2
A,D,D,3
A,E,A,1
A,E,A,2
A,E,A,3
A,F,A,1
A,F,F,2
A,F,F,3
A,G,G,1
A,G,G,2
A,G,A,3
A,H,H,1
A,H,H,2
A,H,H,3
A,I,I,1
A,I,A,2
A,I,I,3
A,J,J,1
A,J,J,2
A,J,A,3
B,C,B,1
B,C,C,2
B,C,B,3
B,D,B,1
B,D,B,2
B,D,B,3
B,E,B,1
B,E,E,2
B,E,E,3
B,F,B,1
B,F,B,2
B,F,B,3
B,G,G,1
B,G,B,2
B,G,B,3
B,H,H,1
B,H,B,2
B,H,B,3
B,I,B,1
B,I,B,2
B,I,I,3
B,J,B,1
B,J,B,2
B,J,J,3
C,D,D,1
C,D,C,2
C,D,D,3
C,E,E,1
C,E,E,2
C,E,E,3
C,F,F,1
C,F,F,2
C,F,C,3
C,G,C,1
C,G,G,2
C,G,G,3
C,H,H,1
C,H,C,2
C,H,C,3
C,I,C,1
C,I,I,2
C,I,C,3
C,J,J,1
C,J,J,2
C,J,C,3
D,E,E,1
D,E,E,2
D,E,E,3
D,F,F,1
D,F,D,2
D,F,F,3
D,G,D,1
D,G,G,2
D,G,G,3
D,H,D,1
D,H,D,2
D,H,H,3
D,I,D,1
D,I,D,2
D,I,D,3
D,J,D,1
D,J,D,2
D,J,D,3
E,F,F,1
E,F,F,2
E,F,F,3
E,G,G,1
E,G,E,2
E,G,G,3
E,H,E,1
E,H,H,2
E,H,H,3
E,I,E,1
E,I,E,2
E,I,I,3
E,J,J,1
E,J,J,2
E,J,J,3
F,G,F,1
F,G,F,2
F,G,F,3
F,H,H,1
F,H,F,2
F,H,F,3
F,I,I,1
F,I,F,2
F,I,F,3
F,J,F,1
F,J,J,2
F,J,F,3
G,H,H,1
G,H,H,2
G,H,G,3
G,I,G,1
G,I,I,2
G,I,G,3
G,J,G,1
G,J,G,2
G,J,J,3
H,I,I,1
H,I,I,2
H,I,I,3
H,J,H,1
H,J,J,2
H,J,J,3
I,J,I,1
I,J,I,2
I,J,I,3
